	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19
2:het:0-100kb	0.000126855217060544	0.00107728332400217	0.02085150083406	0.0001832100036642	0.0017338699898295	0.00356139975070202	0.00021658	0.0010385000041606	0.00281376272353549	0.0021392599786074	0	0.0006844800068448	0.00263211995278935	0.00266672	0.0003860799961392	0.00029759	0.003118100031181	0.00053199	0.00030646
2:het:100kb-1Mb	0.00239269216510174	0.00144857499351072	0.0113719804548792	0.000930600018612	0.0083596599379462	0.00180745987347781	0.00209292	0.0008892000005614	0.0574567342539272	0.0046028299539717	1.00000001e-08	0.0031313300313133	0.00068981998696485	0.00197375	0.000188799998112	3.02e-05	0.031228300312283	0.00464189	0.01868806
2:het:1Mb-10Mb	0.017226427424718	0.000571467668128474	0.023632350945294	0.0012427100248542	0.047988819735162	0.00862874939598754	0.00016457	0.0023290350226828	0.159920320844107	0.000692899993071	0	0.0041048200410482	0.0008556549829119	0.00185384	0.0008738399912616	1.1e-07	0.016426600164266	0.00278654	0.12630567
2:het:10Mb-40Mb	0.11204388628578	0.00040126999664122	0.0243278209731128	0.0065302101306042	0.0401899100271285	0.00893151937479364	0	0.0026749400501629	0.129543643222982	0.0007836199921638	3.9300000393e-06	0.001078200010782	0.0009373599813268	0.00136271	0.0006178899938211	3.4e-07	0.0045268700452687	0.0013967	0.20984675
2:het:>40Mb	0.647548237436108	1.61666666477333e-06	0.0227887609115504	0.0472108209442164	6.1500001185e-07	0.00200752985947291	3.1e-07	0.0021614050432225	0.00676787108794292	5.99999994e-08	8.00000008e-08	4.300000043e-07	0.00410844991786925	7.5e-07	0	3.2e-07	4.600000046e-07	8.15e-06	0.07227018
3-4:het:0-100kb	0.000986436966092696	0.00130161266080664	0.016759400670376	0.0283977205679544	0.00429509499173965	0.00949946933503715	0.00362014	0.0135515451422438	0.00668677815846478	0.0055708399442916	0.0004222900042229	0.0049500000495	0.0011979899760607	0.00179605	0.0001591699984083	0.00117086	0.0170104601701046	0.00077956	0.00800623
3-4:het:100kb-1Mb	0.00362314698166206	0.015217479637129	0.0426479917059197	0.203288654065773	0.0273863248544784	0.205503725614739	0.06003456	0.0413911803006613	0.0674713176760732	0.0417762195822378	6.500000065e-06	0.0093699100936991	0.00790110002509875	0.02323495	0.0018804299811957	0.0120089	0.205701382057014	0.08651517	0.27819348
3-4:het:1Mb-10Mb	0.00173458739980441	0.0581564298534226	0.0276206111048244	0.0556759911135198	0.0154011251298442	0.233334903666557	0.12143735	0.0261931351598558	0.0435108642709374	0.0869563591304364	0.0176333501763335	0.0181212601812126	0.0572365705589556	0.01723295	0.185038198149618	0	0.122306121223061	0.33498798	0.03014244
3-4:het:10Mb-40Mb	0.0030095421986957	0.135200883070673	0.0185054407402176	0.003409950068199	0.0203845804898656	0.0629906555906541	0.00493032	0.0049560700931407	0.00753037545756695	0.0675799493242005	0.0076133700761337	0.100679891006799	0.0713858608493538	0.00618312	0.188270228117298	0.00227849	0.0759359507593595	0.16201175	0.0061488
3-4:het:>40Mb	0.00537392479707207	0.390284779081082	1.800000072e-07	0.0047273100945462	0.00297415508407925	0.00240526983163111	0.00022509	0.0241685202858633	0.00287618460786981	9.9999999e-09	6.20300006203e-05	0.0009036500090365	0.352795454288886	0.00048235	0.00053599999464	0.02652536	0.0025608400256084	0.00119273	2.8e-07
