MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
4:Ins:R:4	0.00008534	0.00055864	0.00012747	0.00051198	0.00001628	0.00093071	0.00000000	0.00055837	0.00007306	0.00015806
4:Ins:R:5	0.00018297	0.00181880	0.00006981	0.00047031	0.00000000	0.00176446	0.00008544	0.00154716	0.00071746	0.00072751
5:Ins:R:0	0.00060730	0.00425173	0.00056108	0.02249992	0.00266247	0.16125050	0.01663313	0.00444270	0.00104187	0.03731134
5:Ins:R:1	0.00000000	0.01456800	0.00168358	0.04746508	0.00000000	0.08555024	0.00811248	0.01155266	0.02125402	0.01372325
5:Ins:R:2	0.00001995	0.00022966	0.00029856	0.04411641	0.00000000	0.04143803	0.00145872	0.00165218	0.00000000	0.00302023
5:Ins:R:3	0.00000509	0.00019284	0.00000000	0.03845190	0.00026404	0.02916216	0.00000000	0.00125103	0.00000000	0.00330269
5:Ins:R:4	0.00000635	0.00001810	0.00000000	0.03098329	0.00000000	0.01821689	0.00000000	0.00174526	0.00000000	0.00571224
5:Ins:R:5	0.00000734	0.00007090	0.00000000	0.01470750	0.00000001	0.00243756	0.00000012	0.00047713	0.00021617	0.00014844
2:Del:M:1	0.00318157	0.00734682	0.03698332	0.00793849	0.00030899	0.02993641	0.00540059	0.00603509	0.00231285	0.01775440
3:Del:M:1	0.00007097	0.00271064	0.00407196	0.00093878	0.00000001	0.00556136	0.00328655	0.00257056	0.00390176	0.00000000
3:Del:M:2	0.00067782	0.00294940	0.02514553	0.00197587	0.00036884	0.00924273	0.00537020	0.00572889	0.00714778	0.00055689
4:Del:M:1	0.00000000	0.00155958	0.00575280	0.00250824	0.00012608	0.00059906	0.00357415	0.00421453	0.00106006	0.00000000
4:Del:M:2	0.00006004	0.00221497	0.01147007	0.00301363	0.00068409	0.00100779	0.00504680	0.00350372	0.00638198	0.00129848
4:Del:M:3	0.00021244	0.00276835	0.01742504	0.00255002	0.00045355	0.00926673	0.00681203	0.00324324	0.00202166	0.00232367
5:Del:M:1	0.00039773	0.00812254	0.00287658	0.01111833	0.00251454	0.01830422	0.14885432	0.01576996	0.01066440	0.01752814
5:Del:M:2	0.00000553	0.00186733	0.00191291	0.00000000	0.00447169	0.01377537	0.22747125	0.01222196	0.00823257	0.01939502
5:Del:M:3	0.00041275	0.00000153	0.00000000	0.00573843	0.00524932	0.00829772	0.18340366	0.00276090	0.00880327	0.00549993
5:Del:M:4	0.00016904	0.00099129	0.00030265	0.00277366	0.00418151	0.00464939	0.10176031	0.00010183	0.00206829	0.00734764
5:Del:M:5	0.00093043	0.00123787	0.00034890	0.00421053	0.95439736	0.03385711	0.00090747	0.00000097	0.01038220	0.00281411
